trip_id,route_id,driver_id,timestamp,type,stop_id,n_items
0,404,2,0,arrive,0,
0,404,2,22,depart,0,
0,404,2,1308,arrive,583,
0,404,2,1402,depart,583,2
0,404,2,1948,arrive,161,
0,404,2,,depart,161,1
0,404,2,2628,arrive,567,
0,404,2,2768,depart,567,2
0,404,2,5908,arrive,684,
0,404,2,6025,depart,684,1
0,404,2,6925,arrive,310,
0,404,2,7044,depart,310,1
0,404,2,7509,arrive,42,
0,404,2,7630,depart,42,3
0,404,2,8339,arrive,317,
0,404,2,8458,depart,317,1
0,404,2,9596,arrive,840,
0,404,2,9694,depart,840,1
0,404,2,11517,arrive,670,
0,404,2,11615,depart,670,1
0,404,2,13742,arrive,544,
0,404,2,13840,depart,,1
0,404,2,16037,arrive,1002,
0,404,2,16134,depart,1002,1
0,404,2,17446,arrive,307,
0,404,2,17525,depart,307,2
0,404,2,18794,arrive,1002,
0,404,2,18891,depart,1002,1
0,404,,,arrive,29,
0,404,2,20850,depart,,1
0,404,2,,arrive,1001,
0,404,2,22500,depart,1001,1
0,404,2,27560,arrive,889,
0,404,2,27679,depart,889,1
0,404,2,31673,arrive,1021,
0,404,2,31812,depart,1021,1
0,404,2,32898,arrive,0,
0,404,2,32975,depart,0,1
1,279,2,0,arrive,0,
1,279,2,126,depart,0,
1,279,2,1776,arrive,22,
1,279,2,1849,depart,22,1
1,279,2,2642,arrive,20,
1,279,2,2716,depart,20,1
1,279,2,4262,arrive,773,
1,279,2,4340,depart,773,2
1,279,2,6386,arrive,541,
1,279,2,6484,depart,541,1
1,279,2,6896,arrive,634,
1,279,2,6974,depart,634,2
1,279,2,9266,arrive,691,
1,279,2,,depart,691,
1,279,2,10385,arrive,681,
1,279,2,10443,depart,681,2
1,279,2,13363,arrive,469,
1,279,2,13524,depart,,
1,279,2,15951,arrive,560,
1,279,2,16091,depart,560,1
1,279,2,16192,arrive,584,
1,279,2,16292,depart,584,2
1,279,2,17802,arrive,603,
1,279,2,17879,depart,603,1
1,279,2,18834,arrive,773,
1,279,2,18910,depart,773,1
1,279,2,20430,arrive,20,
1,279,2,20505,depart,20,1
1,279,2,,arrive,22,
1,279,2,21455,depart,22,1
1,279,2,23059,arrive,0,
1,279,2,23136,depart,0,1
2,92,1,0,arrive,0,
2,92,1,195,depart,0,
2,92,1,1492,arrive,583,
2,92,1,1570,depart,583,2
2,92,1,2572,arrive,161,
2,92,1,2652,depart,161,1
2,92,1,6001,arrive,13,
2,92,1,6106,depart,13,2
2,92,1,7169,arrive,295,
2,92,1,7232,depart,295,1
2,92,1,9400,arrive,413,
2,92,1,9463,depart,413,1
2,92,1,11642,arrive,295,
2,92,1,11705,depart,295,1
2,92,1,,arrive,36,
2,92,,13443,depart,36,2
2,92,1,14567,arrive,684,
2,92,1,14668,depart,684,1
2,92,1,15323,arrive,310,
2,92,1,15426,depart,310,1
2,92,1,17296,arrive,140,
2,92,1,17359,depart,140,2
2,92,1,18436,arrive,561,
2,92,1,18499,depart,561,1
2,92,1,22211,arrive,541,
2,92,1,22296,depart,541,2
2,92,1,24766,arrive,773,
2,92,1,24831,depart,773,2
2,92,1,26653,arrive,20,
2,92,1,26714,depart,20,1
2,92,1,27660,arrive,22,
2,92,1,27723,depart,22,1
2,92,1,29509,arrive,0,
2,92,1,29572,depart,0,1
3,214,2,0,arrive,0,
3,214,2,172,depart,0,
3,214,2,1252,arrive,1021,
3,214,2,1385,depart,1021,1
3,214,2,5075,arrive,265,
3,214,2,5173,depart,265,1
3,214,2,9006,arrive,604,
3,214,2,9126,depart,604,2
3,214,2,10471,arrive,355,
3,214,2,10548,depart,355,
3,214,2,12472,arrive,511,
3,214,2,12570,depart,511,1
3,214,2,14575,arrive,355,
3,214,2,14654,depart,355,2
3,214,2,15949,arrive,604,
3,214,2,16068,depart,604,1
3,214,2,16478,arrive,209,
3,214,2,16577,depart,209,2
3,214,2,17129,arrive,1001,
3,214,2,,depart,1001,4
3,214,2,18809,arrive,29,
3,214,2,18886,depart,29,1
3,214,2,19596,arrive,694,
3,214,2,19652,depart,694,1
3,214,2,23863,arrive,,
3,214,2,23980,depart,212,1
3,214,2,26605,arrive,559,
3,214,2,26766,depart,559,1
3,214,2,27518,arrive,150,
3,214,2,27637,depart,150,1
3,214,2,32505,arrive,0,
3,214,2,32584,depart,0,2
4,253,1,0,arrive,0,
4,253,1,,depart,0,
4,253,1,1258,arrive,583,
4,253,1,1333,depart,583,1
4,253,1,2354,arrive,161,
4,253,1,2434,depart,161,1
4,253,1,4136,arrive,25,
4,253,1,4258,depart,25,1
4,253,1,7272,arrive,149,
4,253,1,7333,depart,149,1
4,253,1,8526,arrive,486,
4,253,1,8629,depart,486,2
4,253,1,12229,arrive,713,
4,253,1,12317,depart,713,4
4,253,1,14370,arrive,654,
4,253,1,14477,depart,654,3
4,253,1,15269,arrive,1022,
4,253,1,15374,depart,1022,2
4,253,1,18390,arrive,150,
4,253,1,18493,depart,150,1
4,253,1,24072,arrive,0,
4,253,1,24135,depart,0,1
5,237,3,0,arrive,0,
5,237,3,75,depart,0,
5,237,3,1377,arrive,22,
5,237,3,1454,depart,22,1
5,237,3,3569,arrive,304,
5,237,3,3672,depart,304,1
5,237,3,4372,arrive,851,
5,237,3,4520,depart,851,2
5,237,3,4904,arrive,981,
5,237,3,5030,depart,981,2
5,237,3,6207,arrive,661,
5,237,3,6334,depart,661,
5,237,3,6629,arrive,241,
5,237,3,6689,depart,241,2
5,237,3,7143,arrive,493,
5,237,3,7247,depart,493,2
5,237,3,9223,arrive,492,
5,237,3,9282,depart,492,1
5,237,3,13124,arrive,633,
5,237,3,13294,depart,633,2
5,237,3,14212,arrive,195,
5,237,3,14359,depart,195,1
5,237,3,15092,arrive,553,
5,237,3,15174,depart,553,2
5,237,3,16253,arrive,20,
5,237,3,16339,depart,20,2
5,237,3,,arrive,22,
5,237,3,17081,depart,22,1
5,237,3,18428,arrive,0,
5,237,3,18509,depart,,1
6,193,3,0,arrive,0,
6,193,3,-16,depart,0,
6,193,3,849,arrive,583,
6,193,3,944,depart,583,1
6,193,3,1443,arrive,161,
6,193,3,1542,depart,161,1
6,193,3,2297,arrive,692,
6,193,3,2377,depart,692,1
6,193,3,3169,arrive,905,
6,193,3,3271,depart,905,1
6,193,3,3441,arrive,588,
6,193,3,3545,depart,588,2
6,193,3,3841,arrive,686,
6,193,3,3922,depart,686,1
6,193,3,4094,arrive,588,
6,193,3,4196,depart,,1
6,193,3,5076,arrive,939,
6,193,3,5157,depart,,
6,193,3,6842,arrive,209,
6,193,3,6944,depart,209,1
6,193,3,7357,arrive,604,
6,193,3,7485,depart,604,3
6,193,3,8564,arrive,62,
6,193,3,8691,depart,62,1
6,193,3,10994,arrive,173,
6,193,3,11076,depart,173,2
6,193,3,13008,arrive,513,
6,193,3,13176,depart,513,1
6,193,3,15771,arrive,1004,
6,193,3,15897,depart,1004,2
6,193,3,17215,arrive,20,
6,193,3,17300,depart,20,2
6,193,3,17941,arrive,22,
6,193,3,18021,depart,22,1
6,193,3,19287,arrive,0,
6,193,3,19368,depart,0,1
7,369,3,0,arrive,0,
7,369,3,33,depart,0,
7,369,3,4161,arrive,150,
7,369,3,4285,depart,150,1
7,369,3,5478,arrive,447,
7,369,3,5583,depart,447,1
7,369,,7107,arrive,199,
7,369,3,7209,depart,199,1
7,369,3,8806,arrive,239,
7,369,3,8933,depart,239,2
7,369,3,10316,arrive,520,
7,369,3,10419,depart,520,1
7,369,3,15480,arrive,748,
7,369,3,15606,depart,748,2
7,369,3,16531,arrive,527,
7,369,3,16703,depart,527,1
7,369,3,19647,arrive,89,
7,369,3,19728,depart,89,1
7,369,3,20507,arrive,,
7,369,3,20613,depart,358,3
7,369,3,20987,arrive,981,
7,369,3,21112,depart,981,1
7,369,3,21496,arrive,851,
7,369,3,21643,depart,851,1
7,369,3,22577,arrive,608,
7,369,3,22684,depart,608,2
7,369,3,23931,arrive,518,
7,369,3,24034,depart,518,1
7,369,3,25023,arrive,287,
7,369,3,25191,depart,287,1
7,369,3,25448,arrive,455,
7,369,3,25576,depart,455,3
7,369,3,27905,arrive,248,
7,369,3,28008,depart,248,1
7,369,3,29689,arrive,1015,
7,369,3,29814,depart,1015,1
7,369,3,30608,arrive,600,
7,369,3,30711,depart,600,1
7,369,3,34440,arrive,616,
7,369,3,34523,depart,616,
7,369,3,35895,arrive,22,
7,369,3,35976,depart,22,1
7,369,3,,arrive,0,
7,369,3,37339,depart,0,1
8,43,3,0,arrive,0,
8,43,3,13,depart,0,
8,43,3,923,arrive,1021,
8,43,3,1068,depart,1021,3
8,43,3,4193,arrive,265,
8,43,3,4297,depart,265,2
8,43,3,7398,arrive,604,
8,43,3,7523,depart,604,1
8,43,3,8858,arrive,863,
8,43,3,8962,depart,863,2
8,43,3,9849,arrive,290,
8,43,3,9954,depart,290,3
8,43,3,10353,arrive,33,
8,43,3,10478,depart,33,1
8,43,3,16411,arrive,998,
8,43,3,16561,depart,998,1
8,43,3,17528,arrive,708,
8,43,3,17653,depart,708,1
8,43,3,19232,arrive,67,
8,43,3,19381,depart,67,2
8,43,3,21026,arrive,690,
8,43,3,21151,depart,690,1
8,43,3,23331,arrive,824,
8,43,3,23460,depart,824,2
8,43,3,24467,arrive,529,
8,43,3,24548,depart,529,1
8,43,3,25683,arrive,985,
8,43,3,25807,depart,985,1
8,43,3,27037,arrive,529,
8,43,3,27118,depart,529,1
8,43,3,30924,arrive,364,
8,43,3,31005,depart,364,1
8,43,3,32803,arrive,17,
8,43,3,,depart,17,1
8,43,3,33899,arrive,895,
8,43,3,33979,depart,,1
8,43,3,34697,arrive,22,
8,43,3,34777,depart,22,1
8,43,3,35988,arrive,0,
8,43,3,36071,depart,0,2
9,176,2,0,arrive,0,
9,176,2,131,depart,0,
9,176,2,5149,arrive,150,
9,176,2,5267,depart,150,1
9,176,2,5968,arrive,493,
9,176,2,6066,depart,493,1
9,176,2,6551,arrive,274,
9,176,2,6691,depart,274,1
9,176,2,7269,arrive,912,
9,176,2,7388,depart,912,1
9,176,2,8440,arrive,271,
9,176,2,8559,depart,271,1
9,176,2,9143,arrive,533,
9,176,2,9260,depart,533,1
9,176,2,10131,arrive,271,
9,176,2,10252,depart,271,2
9,176,2,10959,arrive,676,
9,176,2,11055,depart,676,1
9,176,2,15017,arrive,388,
9,176,2,15157,depart,388,2
9,176,,15414,arrive,742,
9,176,2,15491,depart,742,1
9,176,2,18357,arrive,969,
9,176,2,18455,depart,969,1
9,176,2,19930,arrive,342,
9,176,2,20028,depart,342,1
9,176,2,21353,arrive,746,
9,176,2,21430,depart,746,1
9,176,2,23520,arrive,105,
9,176,2,23621,depart,105,3
9,176,2,25307,arrive,686,
9,176,2,25384,depart,686,1
9,176,2,25935,arrive,588,
9,176,2,26034,depart,588,2
9,176,2,26359,arrive,905,
9,176,2,26457,depart,905,1
9,176,2,27367,arrive,692,
9,176,2,27444,depart,692,1
9,176,2,28047,arrive,161,
9,176,2,28146,depart,161,2
9,176,2,29039,arrive,583,
9,176,2,29137,depart,583,1
9,176,2,30200,arrive,0,
9,176,2,30279,depart,0,2
10,139,2,0,arrive,0,
10,139,2,138,depart,0,
